Namee,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
jay patil,8791382222,Mumbai,Insta,Roshan Patil,Hot lead,YES,Coverted
vaibhav navgire,8791382182,Amritsar Punjab,Insta,Kiran Dhakal,End Lead,NO,NO
ashsih ,8791382292,SAMASTIPUR,Insta,Pooja Melwani,End Lead,NO,NO
akshay chavan,8791382279,Barabanki,Insta,Manisha Parte,Active lead,NO,NO
rohit patil,8791382224,Mehsana,Insta,Anchal Mishra,Active lead,NO,NO
disha,8791382229,nagpur,Insta,Nilesh Shinde,Active lead,NO,NO
banson,8791382232,Coimbatore,FB,Deepali Yadav,Active lead,NO,NO
almas,8791382229,ratnagiri,FB,Ritik Yadav,End Lead,NO,NO
manrata,8791382222,"Wayanad, Kerala.",FB,Abhijeet Bramhane,End Lead,NO,NO
rushisesk,8791382212,Podili,FB,Akash Sharma,Active lead,NO,NO
prashant bhor,8791382223,tamilnadu,FB,Suryakant Choudhary,End Lead,NO,NO
yash ,8791382399,Gwalior,FB,Sushant Nikam,End Lead,NO,NO
yash thaur,8791382392,Dharmshala (Dharamshala),FB,Azimuddin Mohd,Active lead,NO,NO
joshi,8791382248,Mysore,FB,Tamanna Sahu,Hot lead,NO,NO
yash thakur,8791382172,Aurangabad,FB,Rohit Sonar,Active lead,NO,NO
yash josho,8791382299,Ase,Google Ad,Ronak Jadhav,Active lead,NO,NO
yash patil,8791382189,adoni,Google Ad,Deepali Kasatwar,Active lead,NO,NO
yash mhatre,8741382221,gadarwara,Google Ad,Roshan Patil,End Lead,NO,NO
yash  kadam,8741382228,Khammam,Google Ad,Kiran Dhakal,End Lead,NO,NO
yash anavkar,8741382292,Chennai,Google Ad,Pooja Melwani,Hot lead,NO,NO
yash nerulkar,8741382213,Kolkata,Insta,Manisha Parte,Active lead,NO,NO
tejas naik,8741382183,Solapur,Insta,Anchal Mishra,Hot lead,YES,Coverted
chahya,8741382274,midnapur,Insta,Nilesh Shinde,End Lead,NO,NO
vijay tambde,8741382179,Madha,Insta,Deepali Yadav,Active lead,NO,NO
nikhil naik,8741382282,Motihari,Insta,Ritik Yadav,Active lead,NO,NO
siddesh kadu,8741382219,Bangalore,Insta,Abhijeet Bramhane,End Lead,NO,NO
rushi ingle,8741382179,Kolkata,Insta,Akash Sharma,Hot lead,YES,Coverted
samarveer,8741382219,Toronto,Insta,Suryakant Choudhary,Active lead,NO,NO
shruti,8741382197,Allahabad,Insta,Sushant Nikam,End Lead,NO,NO
dilip ,8741382221,Imphal,FB,Azimuddin Mohd,End Lead,NO,NO
dilip prajapati,8741382322,Kolkatta,FB,Tamanna Sahu,Hot lead,YES,Coverted
pratik shinde,8741382222,anantnag,FB,Ronak Jadhav,Active lead,NO,NO
meeher mhatre,8741382274,Mumbai,FB,Deepali Kasatwar,Active lead,NO,NO
rahul gharat,8741382188,Vyara,FB,Roshan Patil,End Lead,NO,NO
jayesh tandel,8741382222,kallakurichi,FB,Kiran Dhakal,Active lead,NO,NO
harish wagh,8741382244,Gondal,FB,Pooja Melwani,Active lead,NO,NO
mankani ashsish,8741382311,Tirunelveli,FB,Manisha Parte,Active lead,NO,NO
vikram gadge,8741382243,Gondal,Investment Leads,Anchal Mishra,End Lead,NO,NO
sujal mhatre,8741382193,Tamilnadu,Investment Leads,Nilesh Shinde,Hot lead,NO,YES
javed hussain,8741382239,Tamilnadu,Investment Leads,Deepali Yadav,Active lead,NO,NO
dipen shah,8741382292,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
nilesh shinde,8741382292,Badlapur,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
sanky rathore,8741382229,Lucknow,Investment Leads,Akash Sharma,Hot lead,NO,NO
sanket mhatre,9741382229,Bihar,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
harsh bhopi,9741382272,Bihar,Investment Leads,Sushant Nikam,End Lead,NO,NO
utkarsh tiwari,9741382228,Badlapur,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
saurav sawant,9741382222,Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
gurmit singh,9741382173,Aurangabad,whatsapp,Ronak Jadhav,Hot lead,YES,Coverted
sbhubham sonya,9741382273,Surat,Google Ad,Deepali Kasatwar,Hot lead,NO,NO
om bhot,9741382229,Kalyan,Google Ad,Roshan Patil,Active lead,NO,NO
jaydeep namdass,9741382299,Kashmir,Google Ad,Kiran Dhakal,Active lead,NO,NO
tejas kadam,9741382278,Kerla,Google Ad,Pooja Melwani,End Lead,NO,NO
babu patil,9741382197,Hydrabad,Google Ad,Manisha Parte,Hot lead,YES,Coverted
vinay thakur,9741382224,Kolkata,Google Ad,Anchal Mishra,Active lead,NO,NO
shubash gurung,9741382214,Lucknow,Google Ad,Nilesh Shinde,Active lead,NO,NO
aniket shetty,9741382233,Navi Mumbai,Google Ad,Deepali Yadav,Hot lead,NO,NO
ashsish yadhav,9741382282,Hydrabad,Google Ad,Ritik Yadav,End Lead,NO,NO
sufiyan memon,9741382222,Mumbai,Insta,Abhijeet Bramhane,Active lead,NO,NO
sarvesh naik,9741382227,Navi Mumbai,Insta,Akash Sharma,Hot lead,NO,YES
vikrant bhoir,9741382278,Lucknow,Insta,Suryakant Choudhary,Active lead,NO,NO
jagdish ,9741382182,Lucknow,Insta,Sushant Nikam,Hot lead,NO,NO
pereeti,9741382219,Kerla,Insta,Azimuddin Mohd,Active lead,NO,NO
bhavesh patil,9741382172,Surat,Insta,Tamanna Sahu,Hot lead,NO,NO
pratiksha,9741382241,Tamilnadu,Insta,Ronak Jadhav,Hot lead,NO,NO
kaif khan,9741382237,Kerla,Insta,Deepali Kasatwar,Active lead,NO,NO
priyank palsekkar,9741382288,Kashmir,FB,Roshan Patil,End Lead,NO,NO
alister wilson,8749382299,Solapur,FB,Kiran Dhakal,Active lead,NO,NO
arpit mhatre,8749382183,Sawantwadi,FB,Pooja Melwani,Hot lead,YES,Coverted
pritesh koli,8749382223,Madhya Pradesh,FB,Manisha Parte,End Lead,NO,NO
bhuvnesh rane,8749382244,Sawantwadi,FB,Anchal Mishra,Active lead,NO,NO
shubham patil,8749382232,Kolkata,FB,Nilesh Shinde,End Lead,NO,NO
rushi mhatre,8749382219,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
saunak,8749382213,Lucknow,Investment Leads,Ritik Yadav,End Lead,NO,NO
tanish patil,8749382244,Navi Mumbai,Investment Leads,Abhijeet Bramhane,Hot lead,YES,Coverted
sayyed,8749382222,Madhya Pradesh,Investment Leads,Akash Sharma,Active lead,NO,NO
rishi naik,8749382393,Hydrabad,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
jaggi,8749382242,Navi Mumbai,Insta,Sushant Nikam,Hot lead,YES,Coverted
bhiopi kalpesh,8749382129,Tamilnadu,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
akash bhoir,8749382279,Kashmir,Investment Leads,Tamanna Sahu,End Lead,NO,NO
chanchala,8749382222,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,NO
piyush bandre,8749382242,Navi Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
shubham bhoir,8749382187,Navi Mumbai,whatsapp,Roshan Patil,Hot lead,NO,YES
chhaya bahndre,8749382222,Vadodara,Google Ad,Ronak Jadhav,End Lead,NO,NO
smit patil,8749382282,Srinagar,Google Ad,Deepali Kasatwar,End Lead,NO,NO
gaurav malve,8749382249,Hyderabad,Google Ad,Roshan Patil,End Lead,NO,NO
rvind,8749382124,nipani,Google Ad,Kiran Dhakal,Active lead,NO,NO
vaibhav patil,8749382222,Sheopur,Google Ad,Pooja Melwani,End Lead,NO,NO
vivek tawre,8749382279,Gorakhpur,Google Ad,Manisha Parte,End Lead,NO,NO
dilip sutar,8749382293,Orai,Google Ad,Anchal Mishra,Active lead,NO,NO
yadhav om,8749382229,VIJAYAWADA,Google Ad,Nilesh Shinde,End Lead,NO,NO
sagar mhatre,8749382219,Nagpur,FB,Deepali Yadav,Hot lead,NO,NO
Stella Morgan,8749382219,Bharatpur,FB,Ritik Yadav,Hot lead,NO,NO
John Morris,8749382239,Chennai,FB,Abhijeet Bramhane,Active lead,NO,NO
Aurora Murphy,8749382329,Bhadrak,FB,Akash Sharma,Active lead,NO,NO
Christian Nelson,8749382229,Dubai,FB,Suryakant Choudhary,End Lead,NO,NO
Hannah Parker,8749382312,Patna,Insta,Sushant Nikam,Hot lead,YES,Coverted
David Perez,8749382214,Madhya Pradesh,FB,Azimuddin Mohd,Active lead,NO,NO
Maya Phillips,8222242222,Ramnagar,FB,Tamanna Sahu,End Lead,NO,NO
Jack Powell,8749382299,Aurangabad,FB,Rohit Sonar,Hot lead,YES,Coverted
Addison Reed,8749382192,aizawl,FB,Ronak Jadhav,Hot lead,NO,NO
Ryan Rivera,8749382222,Shrigonda,Insta,Deepali Kasatwar,End Lead,NO,NO
Avery Roberts,8749382224,Parbhani,Insta,Roshan Patil,Active lead,NO,NO
Joseph Robinson,8749382122,Srinagar,Insta,Kiran Dhakal,End Lead,NO,NO
Madison Rogers,8749382129,mumbai,Insta,Pooja Melwani,Active lead,NO,NO
Samuel Ross,8749382244,Lakhimpur,Insta,Manisha Parte,Active lead,NO,NO
Sofia Russell,8749382174,Rewari,Insta,Anchal Mishra,End Lead,NO,NO
Joseph Sanchez,8749382242,Kota,Insta,Nilesh Shinde,Hot lead,NO,NO
Emilia Scott,8749382391,Nagpur,Investment Leads,Deepali Yadav,Hot lead,NO,NO
William Simmons,8749382222,Kolkata,Investment Leads,Ritik Yadav,End Lead,NO,NO
Lillian Stewart,8749382127,Surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,NO
Owen Taylor,8749382292,Nagpur,Investment Leads,Akash Sharma,End Lead,NO,NO
Victoria Thomas,8749382219,Palghar,Investment Leads,Suryakant Choudhary,Hot lead,NO,NO
Caleb Thompson,8749382197,lucknow,Investment Leads,Sushant Nikam,End Lead,NO,NO
Julia Torres,8749382232,Madhya Pradesh,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Matthew Turner,8749382229,Navi Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Camila Ward,8749382222,Solapur,whatsapp,Rohit Sonar,Active lead,NO,NO
Daniel White,8749382299,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Brooklyn Williams,9749382398,Kerla,Calling,Anchal Mishra,End Lead,NO,NO
Gabriel Wilson,9749382242,Mumbai,Calling,Nilesh Shinde,Active lead,NO,NO
Grace Wood,9749382322,Mumbai,Calling,Deepali Yadav,Active lead,NO,NO
Andrew Wright,9749382229,Salem,Google Ad,Ronak Jadhav,End Lead,NO,NO
Harper Young,9749382232,Rourkera,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Nicholas Allen,9749382214,Hardoi,Google Ad,Roshan Patil,End Lead,NO,NO
Eleanor Anderson,9749382399,chapra,Google Ad,Kiran Dhakal,End Lead,NO,NO
Charles Bailey,9749382222,Rayagada,Google Ad,Pooja Melwani,End Lead,NO,NO
Hazel Baker,9749382212,Sivasagar,Google Ad,Manisha Parte,End Lead,NO,NO
Christopher Barnes,9749382222,PUNE,Google Ad,Anchal Mishra,Hot lead,NO,NO
Emily Bennett,9749382227,Indore,Google Ad,Nilesh Shinde,Active lead,NO,NO
Samuel Brooks,9749382212,Lucknow,whatsapp,Deepali Yadav,Active lead,NO,NO
Penelope Brown,9749382224,Mangoav,whatsapp,Ritik Yadav,End Lead,NO,NO
Logan Butler,9749382212,Madhya Pradesh,whatsapp,Abhijeet Bramhane,End Lead,NO,NO
Scarlett Campbell,9749382212,Navi Mumbai,whatsapp,Akash Sharma,Active lead,NO,NO
Zachary Carter,9749382242,Navi Mumbai,whatsapp,Suryakant Choudhary,End Lead,NO,NO
Hannah Clark,9749382223,Kolkatta,Google Ad,Sushant Nikam,Hot lead,NO,YES
William Collins,9749382241,Solapur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Victoria Cook,9749382232,Surat,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Daniel Cox,9749382278,Kashmir,Google Ad,Rohit Sonar,End Lead,NO,NO
Elizabeth Davis,9749382424,Bhind Madhya Pradesh,FB,Ronak Jadhav,Active lead,NO,NO
James Diaz,9749382222,Bahraich,FB,Deepali Kasatwar,End Lead,NO,NO
Mia Edwards,9749382398,Hyderabad,FB,Roshan Patil,End Lead,NO,NO
Oliver Evans,9749382248,Ranchi,FB,Kiran Dhakal,Hot lead,NO,NO
Ava Foster,9749382212,Indore,FB,Pooja Melwani,Hot lead,YES,Coverted
Benjamin Garcia,9749382249,Pune,FB,Manisha Parte,Hot lead,NO,NO
Charlotte Gray,9749382171,Pune,FB,Anchal Mishra,Hot lead,YES,Coverted
Elijah Griffin,9749382189,Belgaum,Insta,Nilesh Shinde,End Lead,NO,NO
Grace Hall,9748382249,Imphal,Insta,Deepali Yadav,End Lead,NO,NO
Henry Harris,9748382239,Chandannagar,Insta,Ritik Yadav,Active lead,NO,NO
Abigail Hill,9748382182,Ranebennur,Insta,Abhijeet Bramhane,End Lead,NO,NO
Joseph Hughes,9748382227,Raiganj,Insta,Akash Sharma,Active lead,NO,NO
Ella Jackson,9748382273,Phulbani,Insta,Suryakant Choudhary,Active lead,NO,NO
Ethan Jenkins,9748382212,Navi Mumbai,Insta,Sushant Nikam,Hot lead,YES,Coverted
Lily Johnson,9748382249,Mumbai,Insta,Azimuddin Mohd,Active lead,NO,NO
Alexander Jones,9748382182,Surat,PZ VIP,Tamanna Sahu,End Lead,NO,NO
Harper Kelly,9748382172,Hydrabad,Investment Leads,Rohit Sonar,End Lead,NO,NO
Samuel King,9748382239,Madhya Pradesh,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Aurora Lee,9748382282,mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Michael Lewis,9748382123,Surat,Investment Leads,Roshan Patil,End Lead,NO,NO
Audrey Long,9748382224,Nagpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Noah Martin,9748382191,Solapur,Investment Leads,Pooja Melwani,Hot lead,NO,NO
Maya Martinez,9748382223,kolkatta,Investment Leads,Manisha Parte,Active lead,NO,NO
David Miller,9748382237,Kashmir,Investment Leads,Anchal Mishra,End Lead,NO,NO
Chloe Mitchell,9748382172,Nagpur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Oliver Moore,9748382192,Raniganj,PZ VIP,Deepali Yadav,End Lead,NO,NO
Emma Murphy,9748382129,Kanpur Nagar,PZ VIP,Ritik Yadav,End Lead,NO,NO
William Nelson,9748382189,Belonia,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Sofia Olson,9748382242,Asansol,Google Ad,Akash Sharma,End Lead,NO,NO
James Patel,9748382173,Bachhraon,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Scarlett Perez,9748382227,Bhadrak,Google Ad,Sushant Nikam,End Lead,NO,NO
Liam Phillips,9748382193,Bemetara,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Aria Powell,9748382243,Mathura,Google Ad,Tamanna Sahu,Active lead,NO,NO
Daniel Reed,9748382239,Dharapuram,Google Ad,Rohit Sonar,End Lead,NO,NO
Amelia Roberts,9748382273,Indore,Google Ad,Ronak Jadhav,Active lead,NO,NO
Christopher Robinson,7748382229,mumbai,Calling,Deepali Kasatwar,Active lead,NO,NO
Ava Rodriguez,7748382393,Agra,Calling,Roshan Patil,End Lead,NO,NO
Gabriel Ross,7748382319,Agra,Calling,Kiran Dhakal,Hot lead,YES,Coverted
Mia Russell,7748382232,Pune,FB,Pooja Melwani,Hot lead,YES,Coverted
Alexander Sanchez,7748382124,cuttack,FB,Manisha Parte,End Lead,NO,NO
Emily Scott,7748382242,Lucknow,FB,Anchal Mishra,Active lead,NO,NO
William Simmons,7748382132,Chennai,FB,Nilesh Shinde,Active lead,NO,NO
Madison Smith,7748382222,ALIPURDUAR,FB,Deepali Yadav,Active lead,NO,NO
Ethan Stewart,7748382291,Dharwad,FB,Ritik Yadav,End Lead,NO,NO
Victoria Taylor,7748382273,Kolkata,FB,Abhijeet Bramhane,End Lead,NO,NO
Benjamin Thomas,7748382238,jahazpur,FB,Akash Sharma,Active lead,NO,NO
Elizabeth Thompson,7748382297,Amritsar,FB,Suryakant Choudhary,End Lead,NO,NO
Elijah Turner,7748382219,Puri,Insta,Sushant Nikam,End Lead,NO,NO
Layla Turner,7748382242,Chennai,Insta,Azimuddin Mohd,End Lead,NO,NO
Jacob Walker,7748382197,Muzaffarpur,Insta,Tamanna Sahu,Active lead,NO,NO
Harper Ward,7748382229,Kanker,Insta,Rohit Sonar,End Lead,NO,NO
Samuel White,7748382223,English Bazar,Insta,Ronak Jadhav,Active lead,NO,NO
Penelope Williams,7748382189,palakkad,Insta,Deepali Kasatwar,End Lead,NO,NO
Owen,7748382722,Pune,Insta,Roshan Patil,Hot lead,NO,YES
Liam Anderson,7748382342,Kachrapara,Insta,Kiran Dhakal,Active lead,NO,NO
Olivia Baker,7748382189,Surat,Google Ad,Pooja Melwani,Hot lead,NO,NO
Ethan Campbell,7748382228,Navi Mumbai,Google Ad,Manisha Parte,Active lead,NO,NO
Sophia Davis,7748382287,Solapur,Google Ad,Anchal Mishra,Hot lead,NO,NO
Benjamin Edwards,7748382182,Hydrabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Ava Foster,7748382224,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
Noah Garcia,7248382238,nagpur,Investment Leads,Ritik Yadav,Hot lead,NO,NO
Mia Hernandez,7248382222,Mumbai,Investment Leads,Abhijeet Bramhane,Hot lead,NO,YES
William Jackson,7248382212,Mumbai,Investment Leads,Akash Sharma,Active lead,NO,NO
Isabella King,7248382399,nashik,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
James Lee,7248382122,hydrabad,Investment Leads,Sushant Nikam,End Lead,NO,NO
Charlotte Martin,7248382322,Hydrabad,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Oliver Nelson,7248382249,hydrabad,Investment Leads,Tamanna Sahu,Active lead,NO,NO
Amelia Olson,7248382284,solapur,Investment Leads,Rohit Sonar,Hot lead,NO,NO
Henry Patel,7248382219,New Delhi,Insta,Ronak Jadhav,Active lead,NO,NO
Harper Quinn,7248382217,Chennai,Insta,Deepali Kasatwar,Active lead,NO,NO
Samuel Ramirez,7248382172,Kurukshetra,Insta,Roshan Patil,End Lead,NO,NO
Abigail Smith,7248382293,Tiruchirappalli,Insta,Kiran Dhakal,End Lead,NO,NO
Alexander Taylor,7248382222,Haldia,Insta,Pooja Melwani,End Lead,NO,NO
Emily Turner,7248382219,Parli Vaijnath,Insta,Manisha Parte,End Lead,NO,NO
Daniel Walker,7248382242,Gandhinagar,Insta,Anchal Mishra,End Lead,NO,NO
Elizabeth Young,7248382312,Nashik,Insta,Nilesh Shinde,End Lead,NO,NO
Michael Adams,7248382273,Navi Mumbai,whatsapp,Deepali Yadav,Hot lead,NO,YES
Grace Bennett,7248382224,Navi Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Matthew Carter,7248382273,Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Chloe Clark,7248382213,Tamilnadu,Calling,Akash Sharma,End Lead,NO,NO
David Collins,7248382224,Nagpur,Calling,Suryakant Choudhary,Hot lead,YES,Coverted
Ella Cook,7248382222,MIRZAPUR (UP),PZ VIP,Sushant Nikam,End Lead,NO,NO
Joseph Cooper,7248382212,PRODDATUR,PZ VIP,Azimuddin Mohd,End Lead,NO,NO
Victoria Cox,7248382392,Kolkatta,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Samuel Cruz,7248382182,Mumbai,Investment Leads,Rohit Sonar,Hot lead,NO,YES
Evelyn Diaz,7248382129,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Alexander Evans,7248382284,Nagpur,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Natalie Flores,7248382322,nashik,Investment Leads,Roshan Patil,End Lead,NO,NO
Christopher Gonzalez,7248382298,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Penelope Gray,7248282229,Kerla,Investment Leads,Pooja Melwani,End Lead,NO,NO
Jonathan Griffin,7248282124,Bangalore,FB,Manisha Parte,End Lead,NO,NO
Scarlett Hall,7248282279,Murshidabad,FB,Anchal Mishra,End Lead,NO,NO
Gabriel Hill,7248282182,Basar,FB,Nilesh Shinde,End Lead,NO,NO
Zoey Hughes,7248282228,Bari Sadri,FB,Deepali Yadav,End Lead,NO,NO
Isaac Jenkins,7248282228,Sathyamangalam,FB,Ritik Yadav,End Lead,NO,NO
Lily Johnson,7248282122,Patiala,FB,Abhijeet Bramhane,End Lead,NO,NO
Joshua Kelly,7248282279,Purnea and Madhepura,FB,Akash Sharma,End Lead,NO,NO
Audrey King,7248282323,Gurugram,FB,Suryakant Choudhary,End Lead,NO,NO
Andrew Lewis,7248282242,Dewas,FB,Sushant Nikam,End Lead,NO,NO
Layla Long,7248282293,Aizawl,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Daniel Martinez,7248282228,Kolkata,Google Ad,Tamanna Sahu,Active lead,NO,NO
Aria Mitchell,7248282319,Biswanath Chariali,Google Ad,Rohit Sonar,End Lead,NO,NO
Anthony Moore,7248282242,Akaltara,Google Ad,Anchal Mishra,Active lead,NO,NO
Aarav Sharma,7248282292,Firozabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Riya Patel,7248282173,Pilibhit,Google Ad,Deepali Yadav,Active lead,NO,NO
Advait Singh,7248282283,Hooghly,Google Ad,Ritik Yadav,Active lead,NO,NO
Ishita Verma,7248282319,Ambala Cantt,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Arjun Gupta,7248282239,Nagpur,Google Ad,Akash Sharma,End Lead,NO,NO
Saanvi Joshi,7248282229,Mysore,FB,Senthil Nadar,Active lead,NO,NO
Aryan Kumar,7248282282,Lucknow,FB,Ronak Jadhav,Active lead,NO,NO
Aanya Shah,7248282188,muvatupuzha,FB,Deepali Kasatwar,End Lead,NO,NO
Reyansh Patel,7248282394,Visakhapatnam,FB,Roshan Patil,End Lead,NO,NO
Zara Kapoor,8248282228,Akola,FB,Kiran Dhakal,End Lead,NO,NO
Atharv Singhania,8248282221,Coimbatore,FB,Pooja Melwani,End Lead,NO,NO
Myra Reddy,8248282229,Nashik,FB,Manisha Parte,End Lead,NO,NO
Vivaan Patel,8248282288,Jagtial,Google Ad,Anchal Mishra,End Lead,NO,NO
Anaya Iyer,8248282229,Andhrapradesh,Google Ad,Nilesh Shinde,Active lead,NO,NO
Vihaan Choudhury,8248282194,Imphal,Google Ad,Deepali Yadav,End Lead,NO,NO
Aadhya Sengupta,8248282228,Kashipur,Google Ad,Ritik Yadav,Active lead,NO,NO
Shaurya Mishra,8248282272,Mysore,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Diya Desai,8248282242,Lucknow,Investment Leads,Akash Sharma,End Lead,NO,NO
Krish Saxena,8248282219,Tamilnadu,Investment Leads,Suryakant Choudhary,Active lead,NO,NO
Navya Agarwal,8248282229,Madhya Pradesh,Investment Leads,Sushant Nikam,End Lead,NO,NO
Ishaan Srinivasan,8248282279,mumbai,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Anika Khanna,8248282349,Kerla,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Vihaan Dave,8248282223,Lucknow,Investment Leads,Rohit Sonar,End Lead,NO,NO
Aanya Menon,8248282197,Lucknow,whatsapp,Ronak Jadhav,End Lead,NO,NO
Dhruv Sharma,8248282249,Aurangabad,whatsapp,Deepali Kasatwar,Hot lead,NO,YES
Avani Gupta,8248282249,Rajeshthan,whatsapp,Roshan Patil,Active lead,NO,NO
Arnav Banerjee,8248282229,Navi Mumbai,whatsapp,Kiran Dhakal,Active lead,NO,NO
Siya Rao,8248282299,lucknow,PZ VIP,Pooja Melwani,Active lead,NO,NO
Aarush Bhatia,8248282328,Avinashi 641654,PZ VIP,Manisha Parte,End Lead,NO,NO
Ishani Nair,8248282222,Aurangabad,Insta,Anchal Mishra,End Lead,NO,NO
Advaitan Das,8248282242,covai,Insta,Nilesh Shinde,End Lead,NO,NO
Ananya Iyer,8248282242,Gorakhpur,Insta,Deepali Yadav,End Lead,NO,NO
Pranav Mehra,8248282289,Kollam,Insta,Ritik Yadav,End Lead,NO,NO
Kiara Choudhary,8248282182,Chennai,Insta,Abhijeet Bramhane,End Lead,NO,NO
Vivaan Pillai,8248282197,coimbatore,Insta,Akash Sharma,End Lead,NO,NO
Anvi Venkatesh,8248282311,ara,Insta,Suryakant Choudhary,End Lead,NO,NO
Aaryan Mathur,8248282328,Salem,Insta,Sushant Nikam,End Lead,NO,NO
Riyaan Nair,8248282229,Tiruchirappalli,Insta,Azimuddin Mohd,End Lead,NO,NO
Nandini Krishnan,8248282218,Siliguri,Insta,Tamanna Sahu,End Lead,NO,NO
Samaira Singh,8248282241,Pune,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
Shaurya Murthy,8248282219,bijapur near,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Riya Chatterjee,8248282222,Noida,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Aditya Menon,8248282312,Kaithal,Google Ad,Roshan Patil,End Lead,NO,NO
Aaradhya Deshpande,8248282299,Shimla,Google Ad,Pooja Melwani,End Lead,NO,NO
Ishika Saxena,8248282237,Jaipur,Insta,Anchal Mishra,End Lead,NO,NO
Arjun Mehra,8248282297,patna,Insta,Nilesh Shinde,End Lead,NO,NO
Anaya Iyengar,8248282242,Mandla,Insta,Ronak Jadhav,End Lead,NO,NO
Aryan Dubey,8248282238,Guntur,Insta,Deepali Kasatwar,End Lead,NO,NO
Myra Iyer,8248282229,Rayagada,Insta,Abhijeet Bramhane,End Lead,NO,NO
Devansh Shah,8248282229,Jammu,Insta,Deepali Kasatwar,End Lead,NO,NO
Aishani Gupta,8248282238,Vrindaban,Insta,Sushant Nikam,End Lead,NO,NO
Reyansh Joshi,8248282272,vellore,Insta,Tamanna Sahu,End Lead,NO,NO
Zara Rao,8248282339,Srinagar,Insta,Roshan Patil,End Lead,NO,NO
Atharv Srinivasan,8247282231,Jaipur,Insta,Sushant Nikam,End Lead,NO,NO
Saisha Kapoor,8247282187,Berhampur,Insta,Tamanna Sahu,End Lead,NO,NO
Vihaan Chawla,8243282998,Chitradurga,FB,Deepali Kasatwar,End Lead,NO,NO
Navya Prasad,7243282192,Bareilly,FB,Tamanna Sahu,End Lead,NO,NO
Rudra Raghavan,8248282222,Pune,FB,Sushant Nikam,End Lead,NO,NO
Sia Reddy,7243282177,Bolangir,FB,Azimuddin Mohd,End Lead,NO,NO
Anaya Rao,7243282292,Baner,FB,Azimuddin Mohd,End Lead,NO,NO
Ayush Sinha,7243282231,Akola maharashtra,FB,Azimuddin Mohd,End Lead,NO,NO
Myra Menon,7243282219,Ramganjmandi,FB,Azimuddin Mohd,End Lead,NO,NO
Kian Kapoor,7243282239,Bhagalpur,FB,Sushant Nikam,End Lead,NO,NO
Aahana Sharma,8243282283,kandhar,FB,Pooja Melwani,End Lead,NO,NO
Anshuman Agarwal,7243282293,Bangalore,FB,Pooja Melwani,End Lead,NO,NO
Aanya Iyengar,8243282299,KOLHAPUR,PZ VIP,Anchal Mishra,Active lead,NO,NO
Vihaan Choudhury,8243282244,Chalisgaon,PZ VIP,Anchal Mishra,Active lead,NO,NO
Reyansh Verma,8243282212,Tamilnadu,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Anika Gupta,8243282218,Navi Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
